false;Setting the mode to its current value must have no effect on irrigation. ; Users must be able to set the mode. 
false;Setting the mode to a different value must result in AquaLush closing all valves. ; Users must be able to set the mode. 
false;AquaLush must display the current mode to the user after the user sets the mode. ; Users must be able to set the mode. 
true;The current time consists of the current day and the current time of day. ; AquaLush must allow users to set the current time. 
true;AquaLush must either not allow an invalid time setting or validate the new time setting. ; AquaLush must allow users to set the current time. 
false;If a new time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must either not allow an invalid time setting or validate the new time setting. 
false;AquaLush must display a reset current time to the user. ; AquaLush must allow users to set the current time. 
false;If the current time is set so that an irrigation time is skipped, then AquaLush must wait for the next irrigation time. In other words, AquaLush makes no attempt to detect and react to irrigation times skipped as a result of a time setting. ; AquaLush must allow users to set the current time. 
true;AquaLush must either not allow an invalid irrigation time setting or validate the new irrigation time setting. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;If a new irrigation time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must either not allow an invalid irrigation time setting or validate the new irrigation time setting. 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must display a reset irrigation time to the user. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
true;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;AquaLush must display a reset critical moisture level to the user. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
true;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;AquaLush must display a reset water allocation to the user. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;AquaLush must allow operation in either automatic or manual mode. ; AquaLush must run in one of two modes: manual or automatic. 
false;AquaLush must monitor the amount of water used in irrigation. ; AquaLush must display the total water used in manual irrigation. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; Users must be able to set the mode. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; In automatic-mode operation, AquaLush must begin an irrigation cycle when the current time reaches the irrigation time. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; In automatic-mode operation, AquaLush must conduct an irrigation cycle by irrigating one irrigation zone at a time and successively irrigating each zone until all have been irrigated. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. 
false;Every minute, AquaLush must read the zone sensor. ; AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; If a zone's critical moisture level is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; If a zone's zone allocation is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; If a zone's critical moisture level is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; If a zone's zone allocation is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; In automatic-mode operation, AquaLush must conduct an irrigation cycle by irrigating one irrigation zone at a time and successively irrigating each zone until all have been irrigated. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; AquaLush must detect valve and sensor failures. 
false;If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. ; AquaLush must detect valve and sensor failures. 
false;If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
